,Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Professional/Occupational Group
0,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB1,55706,65898,Business Manager,2.0,Operational Delivery
1,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB1,55706,65898,Policy Adviser,1.0,Policy
2,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB2,45350,53637,Business Manager,6.0,Operational Delivery
3,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB2,45350,53637,Policy Adviser,1.0,Policy
4,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB2,45350,53637,Statistician,1.0,Statisticians
5,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB3,36643,42386,Business Manager,6.0,Operational Delivery
6,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB3,36643,42386,Communications Manager,1.0,Communications
7,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB3,36643,42386,Policy Adviser,1.0,Policy
8,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB3,36643,42386,Scientist,1.68,Science and Engineering
9,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB3,36643,42386,Statistician,1.0,Statisticians
10,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB4,30381,34997,Administration Manager,1.41,Operational Delivery
11,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB4,30381,34997,Business Manager,11.0,Operational Delivery
12,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB4,30381,34997,Communications Manager,0.2,Economics
13,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB4,30381,34997,Economist,1.0,Economics
14,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB4,30381,34997,Operational Manager,2.0,Operational Delivery
15,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB4,30381,34997,Policy Adviser,1.7,Policy
16,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB4,30381,34997,Project Manager,1.0,Programme and Project Management (PPM)
17,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB4,30381,34997,Statistician,1.0,Statisticians
18,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB5(OP),26889,31807,Scientist,1.0,Science and Engineering
19,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB5,22883,27092,Administration Manager,7.88,Operational Delivery
20,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB5,22883,27092,Mapping Officer,9.0,Operational Delivery
21,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB6A(OP),24119,27912,Forest Operative,2.0,Operational Delivery
22,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB6A,20623,23777,Administration Officer,2.0,Operational Delivery
23,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB6A,20623,23777,Mapping Officer,1.0,Operational Delivery
24,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB6A,20623,23777,Personal Secretary,1.0,Operational Delivery
25,"Department for Environment, Food and Rural Affairs",Forestry Commission,Corporate & Forestry Support,FCSSGGB04,PB6B,18745,20180,Administration Officer,3.0,Operational Delivery
26,"Department for Environment, Food and Rural Affairs",Forestry Commission,Finance & Accounting Services,FCSSGGB00,PB2,45350,53637,Auditor,1.0,Internal Audit
27,"Department for Environment, Food and Rural Affairs",Forestry Commission,Finance & Accounting Services,FCSSGGB00,PB3,36643,42386,Auditor,3.0,Internal Audit
28,"Department for Environment, Food and Rural Affairs",Forestry Commission,Finance & Accounting Services,FCSSGGB00,PB4,30381,34997,Auditor,3.81,Internal Audit
29,"Department for Environment, Food and Rural Affairs",Forestry Commission,Finance & Accounting Services,FCSSGGB00,PB5,22883,27092,Auditor,1.0,Internal Audit
30,"Department for Environment, Food and Rural Affairs",Forestry Commission,Finance & Accounting Services,FCSSGGB00,PB6B,18745,20180,Administration Officer,1.0,Internal Audit
31,"Department for Environment, Food and Rural Affairs",Forestry Commission,Finance & Accounting Services,FCSSGGB02,PB1,55706,65898,Procurement Officer,1.0,Procurement
32,"Department for Environment, Food and Rural Affairs",Forestry Commission,Finance & Accounting Services,FCSSGGB02,PB2,45350,53637,Finance Officer,3.0,Finance
33,"Department for Environment, Food and Rural Affairs",Forestry Commission,Finance & Accounting Services,FCSSGGB02,PB3,36643,42386,Finance Officer,2.0,Finance
34,"Department for Environment, Food and Rural Affairs",Forestry Commission,Finance & Accounting Services,FCSSGGB02,PB3,36643,42386,Procurement Officer,0.73,Procurement
35,"Department for Environment, Food and Rural Affairs",Forestry Commission,Finance & Accounting Services,FCSSGGB02,PB4,30381,34997,Finance Officer,3.0,Finance
36,"Department for Environment, Food and Rural Affairs",Forestry Commission,Finance & Accounting Services,FCSSGGB02,PB4,30381,34997,Procurement Officer,1.95,Procurement
37,"Department for Environment, Food and Rural Affairs",Forestry Commission,Finance & Accounting Services,FCSSGGB02,PB5,22883,27092,Finance Officer,3.76,Finance
38,"Department for Environment, Food and Rural Affairs",Forestry Commission,Finance & Accounting Services,FCSSGGB02,PB5,22883,27092,Procurement Officer,1.65,Procurement
39,"Department for Environment, Food and Rural Affairs",Forestry Commission,Finance & Accounting Services,FCSSGGB02,PB6B,18745,20180,Administration Officer,8.0,Finance
40,"Department for Environment, Food and Rural Affairs",Forestry Commission,Forest Enterprise England,FCSSGEN01,PB1,55706,65898,Business Manager,7.0,Operational Delivery
41,"Department for Environment, Food and Rural Affairs",Forestry Commission,Forest Enterprise England,FCSSGEN01,PB1,55706,65898,Land Agent,1.0,Operational Delivery
42,"Department for Environment, Food and Rural Affairs",Forestry Commission,Forest Enterprise England,FCSSGEN01,PB2,45350,53637,Business Manager,5.92,Operational Delivery
43,"Department for Environment, Food and Rural Affairs",Forestry Commission,Forest Enterprise England,FCSSGEN01,PB2,45350,53637,Business Manager,1.0,Science and Engineering
44,"Department for Environment, Food and Rural Affairs",Forestry Commission,Forest Enterprise England,FCSSGEN01,PB2,45350,53637,Civil Engineer,1.0,Science and Engineering
45,"Department for Environment, Food and Rural Affairs",Forestry Commission,Forest Enterprise England,FCSSGEN01,PB2,45350,53637,Finance Officer,1.0,Finance
46,"Department for Environment, Food and Rural Affairs",Forestry Commission,Forest Enterprise England,FCSSGEN01,PB3,36643,42386,Business Manager,16.32,Operational Delivery
47,"Department for Environment, Food and Rural Affairs",Forestry Commission,Forest Enterprise England,FCSSGEN01,PB3,36643,42386,Communications Manager,1.0,Communications
